Cycle Nr.,Time [s],Temp. [°C],A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
41,72000.455,37.1,0.1104,1.443,1.3423,1.5254,0.1026,0.1014,0.1029,0.103,0.1028,0.1023,0.1036,0.1018,1.5139,1.4664,1.4556,1.4887,1.5386,1.4715,1.489,1.4288,1.3649,1.0451,0.963,1.4789,1.5192,1.3921,1.3771,1.3523,1.374,1.458,1.4122,1.4161,1.2325,1.032,0.9394,1.4739,1.4306,1.4484,1.3837,1.3368,1.4147,1.4122,1.4075,1.3279,1.0291,0.9565,0.6407,1.454,1.3046,1.4363,1.4064,1.2947,0.9369,0.9481,1.4429,1.3268,1.276,1.0587,0.9144,1.3533,1.3936,1.3908,1.3017,1.248,1.0186,0.936,1.3441,1.3935,1.2847,1.0121,0.8574,1.3894,1.4869,1.3634,1.4974,1.0865,1.1176,0.9849,1.3928,1.4847,1.2116,1.0079,0.8397,1.2604,0.1015,0.1165,0.1029,0.1025,0.1027,0.1113,0.1012,0.1033,0.1027,0.1065,0.1083,0.1038
42,73800.473,36.9,0.1106,1.4296,1.3745,1.5291,0.1027,0.1016,0.103,0.103,0.1027,0.1025,0.1037,0.1021,1.4885,1.4571,1.4271,1.4679,1.5551,1.435,1.4808,1.5268,1.3575,1.0154,0.9496,1.4358,1.5244,1.4016,1.3677,1.4276,1.3749,1.4209,1.4137,1.3618,1.2635,0.9983,0.9643,1.4321,1.4269,1.4336,1.4348,1.3924,1.4143,1.422,1.4163,1.3134,1.0741,0.8925,0.6097,1.4507,1.2453,1.4419,1.4105,1.2915,0.9459,0.9199,1.4298,1.2663,1.3005,1.0351,0.9458,1.3706,1.3885,1.38,1.3057,1.2144,1.0018,0.931,1.3158,1.2881,1.1869,0.9128,0.8224,1.4268,1.4686,1.3599,1.4728,1.159,1.1135,0.9937,1.3981,1.424,1.3102,0.9637,0.8042,1.2571,0.1017,0.1174,0.1029,0.1027,0.1029,0.1115,0.1012,0.1035,0.1028,0.1067,0.1085,0.104
43,75600.489,37.1,0.1105,1.5076,1.4026,1.5482,0.1026,0.1014,0.1029,0.1029,0.1026,0.1023,0.1035,0.1018,1.4303,1.4585,1.462,1.4939,1.5144,1.4286,1.4679,1.5032,1.3484,0.9923,0.9415,1.4552,1.468,1.3676,1.378,1.3673,1.4178,1.5003,1.3892,1.3311,1.2222,1.0056,0.9825,1.4269,1.4385,1.4212,1.4205,1.3991,1.4403,1.345,1.3713,1.3199,1.0399,0.8866,0.6026,1.4377,1.2607,1.4203,1.4234,1.2645,0.9488,0.9208,1.424,1.2731,1.2161,0.966,0.9508,1.3827,1.4085,1.3498,1.3171,1.1854,0.9547,0.9428,1.3569,1.2378,1.1708,0.9354,0.8051,1.3901,1.4422,1.3377,1.4807,1.1225,1.079,0.9646,1.3924,1.4355,1.3142,1.0998,0.741,1.2303,0.1016,0.1154,0.1027,0.1026,0.1027,0.1115,0.1011,0.1033,0.1026,0.1065,0.1085,0.1039
44,77400.504,37,0.1107,1.4669,1.4295,1.555,0.1027,0.1014,0.1028,0.103,0.1027,0.1023,0.1036,0.1019,1.4655,1.5143,1.4396,1.4319,1.5283,1.4828,1.4297,1.4875,1.3092,1.0432,0.9646,1.4315,1.4251,1.4606,1.3659,1.4156,1.4339,1.4366,1.3589,1.3193,1.182,0.9503,0.9944,1.4452,1.465,1.4579,1.4043,1.4143,1.4835,1.4692,1.3564,1.3347,1.0366,0.9576,0.6428,1.4106,1.2416,1.427,1.4378,1.227,0.8903,0.913,1.416,1.3565,1.1825,0.9743,0.9478,1.3784,1.3714,1.3433,1.3333,1.232,0.9826,0.9829,1.3204,1.2965,1.049,0.9785,0.8064,1.4108,1.4435,1.3551,1.4669,1.0868,1.0499,0.9686,1.3527,1.4603,1.2568,1.0806,0.7225,1.2171,0.1016,0.1164,0.1029,0.1026,0.1028,0.1114,0.1011,0.1031,0.1026,0.1064,0.1084,0.1038
45,79200.536,36.9,0.1105,1.4899,1.4515,1.5863,0.1027,0.1014,0.103,0.103,0.1028,0.1025,0.1034,0.1018,1.4666,1.5548,1.4536,1.4496,1.4844,1.492,1.3915,1.5264,1.3023,0.9689,0.9917,1.4041,1.4701,1.4161,1.3985,1.4089,1.435,1.4619,1.38,1.3186,1.1635,0.9929,1.006,1.4082,1.4087,1.4185,1.427,1.4119,1.5155,1.4225,1.3439,1.3143,1.0116,0.9023,0.6434,1.3772,1.2579,1.4359,1.411,1.2192,0.9423,0.9238,1.3925,1.2786,1.2,0.9717,0.9415,1.3838,1.4212,1.3271,1.3135,1.1781,0.9538,0.9663,1.3895,1.3653,1.0632,1.0167,0.7737,1.3504,1.4297,1.35,1.4352,1.0485,1.0535,1.0038,1.4038,1.4383,1.3054,0.9966,0.8661,1.2025,0.1015,0.1164,0.1027,0.1026,0.1027,0.1113,0.1011,0.1031,0.1027,0.1066,0.1083,0.1037
46,81000.557,37.1,0.1104,1.5096,1.4853,1.5461,0.1026,0.1015,0.1029,0.103,0.1027,0.1025,0.1035,0.1019,1.4445,1.5059,1.4207,1.4901,1.4482,1.4942,1.3783,1.5098,1.3323,0.8931,1.0119,1.3869,1.4059,1.4069,1.3872,1.4467,1.4012,1.405,1.3488,1.3067,1.1243,0.9994,1.0039,1.3923,1.4475,1.4437,1.5001,1.4526,1.5387,1.4696,1.3358,1.2744,1.0126,0.8572,0.6552,1.3667,1.2325,1.4548,1.4088,1.1905,0.9093,0.8816,1.3981,1.2583,1.1294,1.0257,0.932,1.3193,1.4027,1.3259,1.349,1.1244,0.9653,0.9203,1.3507,1.3313,1.0834,0.9768,0.8224,1.4167,1.4348,1.3274,1.4684,1.0705,1.0682,0.9887,1.4056,1.5436,1.3924,1.0125,0.9513,1.1541,0.1016,0.117,0.1028,0.1026,0.1027,0.1114,0.1012,0.1035,0.1028,0.1066,0.1085,0.1039
47,82800.578,37,0.1105,1.5361,1.504,1.5906,0.1025,0.1013,0.1028,0.1029,0.1025,0.1023,0.1034,0.1017,1.4448,1.4738,1.4673,1.4664,1.4043,1.5093,1.3685,1.4736,1.2986,0.8912,1.0324,1.3895,1.3469,1.3918,1.413,1.4242,1.4168,1.4304,1.3324,1.3311,1.1396,0.9729,0.9966,1.3781,1.4679,1.4328,1.4957,1.4297,1.4723,1.4067,1.3359,1.246,1.0107,0.9278,0.7083,1.4142,1.2036,1.4593,1.3817,1.1735,0.9492,0.8738,1.356,1.2376,1.2014,0.9718,0.9104,1.2887,1.4299,1.3491,1.354,1.1104,0.9657,0.8732,1.3558,1.2795,1.1809,0.9264,0.815,1.3956,1.3951,1.3246,1.5034,1.0636,1.0589,0.9904,1.3882,1.5298,1.4332,0.9454,0.9674,1.1656,0.1017,0.1165,0.1028,0.1025,0.1027,0.1114,0.1011,0.1034,0.1027,0.1064,0.1085,0.104
48,84600.583,37.1,0.1106,1.5772,1.5589,1.5326,0.1028,0.1016,0.103,0.1029,0.1028,0.1022,0.1036,0.1019,1.4673,1.5205,1.4136,1.4338,1.4187,1.5127,1.3871,1.4767,1.2988,0.8759,1.0445,1.396,1.3952,1.4092,1.3969,1.4194,1.4393,1.409,1.317,1.3126,1.1588,0.9776,1.0099,1.3692,1.4053,1.4396,1.4662,1.4564,1.4687,1.4088,1.2895,1.2572,1.0065,0.8648,0.6822,1.3482,1.1918,1.4435,1.3325,1.1539,0.9252,0.843,1.335,1.3305,1.1671,0.9312,0.9169,1.3577,1.387,1.3218,1.3759,1.0931,0.9127,0.8818,1.3494,1.2336,1.1168,0.9665,0.8872,1.3995,1.443,1.2869,1.4668,1.0181,1.0327,0.9581,1.2706,1.5008,1.3826,1.0272,0.9776,1.1341,0.1015,0.1167,0.1027,0.1028,0.1028,0.1114,0.1012,0.1033,0.1027,0.1066,0.1084,0.1038
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Time,,,,20/08/2022 17:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
